turbine_temp_c,oil_pressure_psi,vibration_hz,fuel_flow_rate,exhaust_gas_temp_c,fan_speed_rpm,compressor_ratio,n1_speed_pct,label
819.58,54.45,100.11,2466.72,609.14,3272.16,29.14,87.69,0
1077.44,57.83,109.59,2476.16,833.22,3497.23,31.2,94.0,1
845.36,55.37,124.39,2439.89,637.88,3074.36,26.09,84.94,0
830.65,52.29,108.96,2277.07,653.37,3205.72,26.66,91.58,0
826.62,56.95,110.47,2163.56,636.29,3194.53,27.04,90.69,0
782.22,49.79,122.36,2395.89,644.82,3098.29,28.18,82.34,0
821.13,49.13,125.76,2503.46,597.07,3118.23,30.0,87.63,0
881.18,54.57,100.83,2189.0,618.75,3003.29,27.06,91.32,0
901.02,62.51,96.85,2204.88,617.54,3260.24,28.65,94.5,0
849.64,53.32,114.23,2096.08,644.84,3185.61,27.89,85.59,0
891.06,55.25,113.66,2477.34,638.45,3051.31,29.55,90.27,0
764.15,58.82,113.37,1892.88,566.77,3228.93,29.54,92.63,0
808.96,47.4,126.16,2306.69,631.28,3180.94,26.75,86.4,0
857.25,50.26,115.28,2116.13,595.33,3168.98,28.52,86.96,0
865.97,53.82,125.25,2188.01,593.05,3204.79,29.51,86.46,0
886.43,57.63,105.76,2206.8,625.36,3308.03,28.21,87.78,0
868.09,57.74,134.21,2122.79,613.78,3206.31,26.91,85.37,0
875.85,52.66,119.24,2002.51,653.68,3227.66,28.5,89.98,0
874.18,46.37,121.78,2350.34,637.12,3105.1,28.38,84.94,0
861.05,53.39,135.9,2030.57,623.45,3195.28,27.43,87.89,0
826.76,63.16,126.91,2260.62,618.12,2988.9,27.43,89.36,0
822.88,48.39,104.98,2268.17,617.38,3187.95,27.88,91.25,0
873.55,58.63,108.71,2415.07,649.83,3173.1,29.45,86.35,0
847.15,58.04,177.43,2430.36,626.57,3411.9,31.04,95.22,1
889.84,58.13,117.59,2238.96,617.32,3341.45,29.67,86.91,0
857.34,33.04,155.16,2214.4,601.77,3213.32,25.72,81.74,1
837.65,57.4,92.77,2099.48,633.89,3198.27,28.22,90.86,0
810.32,53.61,108.56,2010.41,626.36,3178.21,29.08,85.58,0
857.59,57.46,103.05,2252.45,613.43,3173.88,28.19,92.66,0
849.16,49.26,120.3,2179.73,593.47,3227.02,27.58,89.11,0
895.14,50.26,133.32,2179.53,609.56,3048.22,26.9,91.07,0
841.19,55.5,127.53,2280.23,609.4,3206.8,27.97,89.3,0
901.18,70.51,119.66,2025.86,620.39,3181.64,27.84,94.32,0
868.73,54.79,161.51,2126.1,646.22,3241.84,28.65,93.39,0
829.93,62.6,114.72,2154.73,590.95,3336.09,27.9,87.65,0
851.19,61.32,112.42,2184.83,621.25,3323.87,26.82,86.65,0
849.06,53.7,112.06,2272.5,601.52,3321.47,29.03,91.29,0
860.1,45.32,103.46,2259.89,586.82,3268.65,30.17,87.73,0
837.79,47.93,109.62,2440.33,652.05,3302.06,30.75,88.26,0
883.68,59.87,111.19,2601.48,645.92,3041.41,26.93,92.42,0
834.32,60.08,126.53,2384.69,627.72,3237.7,28.89,88.89,0
814.46,59.41,113.18,2082.33,644.53,3139.83,29.72,87.03,0
905.11,46.63,120.73,2221.73,622.12,3232.31,27.7,90.31,0
827.04,58.67,112.91,2432.45,609.9,3215.24,29.94,93.53,0
874.35,53.36,123.71,2525.03,570.31,3245.15,27.29,84.17,0
823.95,53.78,130.21,2077.61,665.67,3093.97,29.33,84.84,0
886.99,54.05,122.07,1941.28,646.81,3238.73,26.77,91.95,0
889.66,61.18,120.57,2311.04,689.4,3183.33,30.85,88.32,0
868.06,52.93,126.22,2251.07,612.36,3216.15,29.64,89.71,0
839.36,55.2,109.39,2181.8,577.47,3212.07,28.8,94.28,0
817.74,48.81,116.36,2019.99,612.21,3272.26,31.44,89.24,0
934.29,53.99,123.49,2137.04,650.01,3282.06,28.52,86.29,0
898.51,57.79,120.07,2085.87,621.65,3356.11,27.17,93.11,0
860.05,64.96,105.17,2048.75,640.93,3065.29,27.69,91.07,0
839.36,48.94,116.4,2168.47,659.89,3193.06,29.14,92.26,0
828.92,62.29,102.17,2034.92,648.5,3259.24,29.36,86.29,0
830.33,63.95,116.92,2234.12,597.17,3240.14,28.22,92.56,0
866.0,55.94,117.81,2405.29,553.07,3225.14,26.48,87.84,0
898.48,60.9,124.51,2255.15,601.79,3188.08,27.42,86.23,0
829.91,45.78,115.65,1902.44,641.07,3258.57,27.77,83.71,0
824.03,60.06,116.36,2099.73,629.42,3290.72,28.4,85.63,0
844.01,61.17,129.53,2429.28,591.72,3336.49,29.27,89.68,0
841.1,43.21,121.86,2062.07,652.62,3237.0,29.52,88.22,0
848.09,45.72,128.16,2136.5,626.9,3274.35,27.78,86.86,0
845.1,55.04,109.42,2055.59,619.1,3053.86,25.95,89.48,0
824.18,57.04,111.4,2090.74,597.08,3132.52,29.15,88.82,0
808.09,50.8,123.52,2025.1,646.07,3323.43,29.38,88.12,0
838.05,51.98,162.25,2021.57,705.67,3442.02,25.41,89.7,1
851.68,49.63,121.76,1985.33,595.47,3070.8,27.85,87.53,0
849.5,50.41,94.66,2014.4,591.87,3112.7,29.14,88.86,0
819.93,53.01,117.03,2490.78,623.99,3211.76,26.74,84.62,0
838.84,59.23,130.49,2601.97,579.63,3180.6,28.78,84.39,0
803.73,52.79,142.88,2276.13,609.82,3209.34,30.11,85.75,0
825.86,54.28,131.58,2276.37,599.23,3064.55,27.67,89.44,0
817.87,54.41,139.74,1928.4,671.86,3160.64,29.37,84.05,0
844.75,52.7,111.08,2158.2,637.79,3025.34,26.9,86.2,0
887.11,58.54,113.4,2032.11,594.77,3150.54,28.4,88.25,0
806.1,54.22,124.32,2212.79,577.31,3050.37,28.6,84.47,0
868.15,51.41,104.67,2240.88,644.76,3150.21,26.38,89.04,0
819.14,53.23,138.48,2183.49,670.06,3204.85,30.03,90.82,0
831.51,52.75,117.84,2175.19,594.8,3132.99,27.95,88.42,0
782.89,58.28,126.08,2233.12,607.24,3318.49,30.3,91.88,0
871.12,56.96,121.85,2166.67,614.31,3210.8,30.35,88.52,0
878.76,58.48,104.39,2177.65,641.88,3164.1,30.15,87.37,0
901.86,57.53,126.3,2406.92,645.95,3332.51,29.41,88.43,0
893.22,52.08,114.1,2352.84,616.46,3171.61,27.34,85.74,0
838.66,58.71,134.55,2085.66,666.46,3194.18,29.6,89.8,0
838.92,51.55,125.29,2036.43,597.6,3135.81,29.76,89.16,0
852.69,54.55,109.29,1952.89,592.98,3090.67,28.46,90.39,0
810.39,52.34,115.0,2040.42,608.29,3208.1,27.75,86.91,0
859.58,50.62,96.66,2493.68,610.88,3103.29,27.16,88.27,0
851.95,58.15,108.14,1975.06,602.24,3226.42,29.01,83.9,0
832.11,49.27,121.74,2478.98,637.43,3176.05,29.9,90.24,0
841.45,60.98,140.4,2058.94,618.72,3084.09,30.65,89.47,0
842.42,55.58,131.23,2254.22,654.12,3169.82,29.31,88.04,0
831.96,47.73,123.08,1964.03,603.07,3111.77,28.61,86.48,0
842.14,57.24,134.17,2057.45,635.47,3188.7,28.38,85.02,0
834.0,62.41,129.35,2145.26,629.14,3202.15,28.27,84.64,0
889.87,55.9,118.11,2225.8,593.14,3338.31,28.25,86.84,0
842.4,44.36,114.42,2119.64,606.81,3178.97,26.53,90.27,0
791.96,54.17,130.46,2231.46,609.23,3204.0,29.77,89.21,0
925.96,53.55,105.24,2242.11,660.73,3272.71,25.23,88.09,0
794.42,58.64,128.86,2165.39,607.23,3329.52,25.19,81.15,0
847.86,58.56,126.76,2367.18,597.79,3179.85,29.12,84.28,0
866.15,60.02,127.04,2254.54,606.89,3145.59,29.68,87.95,0
822.61,60.62,108.78,2358.17,647.27,3224.7,27.74,86.12,0
877.49,61.03,111.99,2183.61,654.74,3309.7,29.74,87.47,0
879.48,55.35,136.79,1919.48,611.45,3129.3,28.23,88.87,0
795.76,49.96,138.39,2180.51,637.26,3216.88,29.2,90.28,0
846.71,58.92,113.73,2438.78,572.24,3292.78,28.96,91.13,0
810.36,53.04,116.0,1940.97,661.0,3150.79,28.28,90.08,0
856.73,57.12,103.96,2342.88,624.18,3377.17,30.15,90.65,0
858.34,51.87,118.66,2077.15,576.47,3192.68,28.84,86.39,0
858.32,47.25,127.91,2245.65,615.13,3327.23,28.35,88.18,0
827.44,63.11,120.41,2033.87,581.98,3152.89,28.29,88.77,0
829.66,57.19,125.06,2308.53,607.98,3161.51,26.31,86.3,0
858.29,52.26,118.72,2188.09,645.51,3094.63,28.93,86.5,0
823.08,54.31,105.95,2440.18,597.17,3245.05,28.14,86.58,0
847.46,54.28,131.52,2101.58,613.05,3238.84,27.89,82.21,0
820.85,52.2,110.17,2379.27,614.43,3200.27,27.48,83.49,0
918.32,51.77,125.44,2134.61,591.66,3293.04,29.45,88.48,0
865.73,62.96,113.06,1683.31,605.61,3108.92,28.14,85.64,0
821.64,53.13,144.83,1988.64,607.12,3208.59,29.6,83.61,0
803.03,60.07,118.25,2281.31,608.09,3273.91,28.1,89.83,0
829.87,62.03,117.96,2171.44,654.94,3223.14,30.57,88.96,0
784.41,65.24,109.69,2000.14,630.53,3268.18,29.09,88.35,0
848.41,59.44,97.81,2264.71,600.54,3241.42,27.86,80.96,0
848.42,52.75,101.24,2055.28,593.13,3097.85,28.23,85.79,0
817.2,55.62,108.53,2220.52,594.0,3252.51,27.63,89.54,0
888.6,61.05,115.89,2333.85,602.96,3346.5,29.11,92.3,0
837.63,58.18,113.29,2150.81,618.89,3265.51,29.95,84.67,0
829.32,59.78,133.05,2197.64,642.57,3172.25,27.63,91.02,0
819.53,49.0,118.22,2489.28,603.8,3265.89,29.45,85.53,0
802.96,57.87,127.29,2344.72,604.38,3302.57,25.82,92.53,0
868.33,59.01,127.64,2379.12,569.79,3285.68,27.34,89.75,0
853.21,49.44,108.92,2039.68,653.03,3198.47,29.65,90.61,0
853.86,59.94,123.02,2251.67,614.94,3144.04,27.65,89.02,0
862.92,62.16,126.89,2122.7,610.63,3242.47,29.44,89.23,0
849.79,57.75,141.59,2159.27,656.24,3125.83,27.8,82.4,0
860.03,59.01,118.18,2206.78,586.22,3285.13,27.7,89.82,0
847.36,54.62,127.87,2215.88,612.34,3272.27,28.71,91.38,0
830.0,61.63,102.87,2239.69,620.84,3129.63,28.48,83.74,0
858.57,49.52,130.07,2175.17,620.64,3242.76,29.84,91.32,0
820.54,54.41,117.04,2154.24,604.32,3010.62,29.24,82.83,0
799.53,50.66,104.31,2434.72,633.78,3155.66,28.75,88.16,0
805.43,56.02,101.07,2176.55,594.2,3193.67,29.17,86.82,0
876.16,49.79,130.97,2294.21,643.11,3285.36,28.88,82.1,0
897.25,52.28,99.24,2257.58,636.34,3199.38,28.6,87.54,0
830.32,57.31,127.77,2233.0,606.49,3202.82,30.54,90.65,0
840.72,58.8,113.17,2062.83,637.57,3370.18,28.65,89.65,0
882.27,48.87,105.61,2316.14,594.8,3244.23,29.24,84.65,0
776.47,55.04,118.85,1881.16,629.31,3257.21,29.41,86.05,0
840.61,59.98,134.26,2167.88,658.57,3342.66,28.75,85.27,0
786.7,49.61,110.77,2398.74,632.41,3132.76,30.96,87.1,0
864.16,58.5,113.42,2153.93,666.74,3227.73,28.58,83.09,0
866.41,53.15,104.56,1963.51,582.95,3141.13,26.34,87.22,0
881.35,57.6,131.68,2469.65,666.48,3126.01,29.49,88.8,0
889.62,51.22,107.22,2030.95,610.98,3112.13,29.21,95.04,0
847.18,50.17,108.56,2147.29,627.56,3206.3,27.6,86.59,0
866.62,60.89,128.61,2320.01,574.71,3212.96,27.07,92.62,0
918.99,50.44,129.25,2357.6,638.42,3257.67,28.36,84.61,0
871.43,58.55,125.73,2202.49,600.83,3261.74,28.85,82.55,0
821.34,51.78,113.27,2398.35,618.25,3232.75,31.07,86.91,0
810.33,49.68,104.61,2309.81,648.23,3236.89,28.08,87.41,0
803.79,56.07,124.58,2366.29,645.55,3110.08,28.52,90.22,0
867.73,56.19,117.07,2135.57,644.1,3214.54,29.46,88.91,0
859.72,52.58,135.47,2264.54,573.51,3189.15,28.42,90.8,0
905.12,56.57,120.74,2229.97,606.45,3208.25,29.06,88.47,0
868.55,46.09,125.3,2165.88,565.89,3242.95,27.63,91.48,0
839.95,51.33,132.78,2230.76,635.05,3241.55,30.74,85.11,0
902.79,58.68,123.58,2351.88,578.15,3156.52,28.6,86.13,0
826.02,57.17,106.06,1937.96,659.07,3308.58,28.07,84.45,0
778.66,57.43,128.16,2365.73,606.27,3194.05,29.72,92.05,0
866.36,52.9,137.6,2146.76,618.77,3126.03,28.43,87.42,0
850.16,57.02,120.67,2124.48,618.81,3117.87,30.35,85.07,0
895.06,39.69,125.37,2337.75,627.13,3192.91,30.01,86.71,0
834.8,51.79,96.79,2221.27,625.61,3135.56,29.53,90.55,0
848.93,50.12,119.13,2040.98,609.21,3231.49,26.93,91.35,0
803.11,53.98,131.62,2419.35,634.58,3164.09,27.08,90.86,0
816.32,55.16,120.79,2257.1,647.73,3128.65,27.92,86.28,0
851.98,61.36,116.29,2122.46,662.7,2964.52,28.71,88.57,0
811.73,54.49,128.23,2225.9,614.97,3124.61,28.52,92.09,0
854.5,56.23,111.7,2114.91,635.02,3261.62,31.62,87.11,0
868.03,61.87,121.32,2220.39,608.9,3175.85,28.7,93.42,0
859.85,56.26,125.88,2111.94,600.47,3278.1,28.67,83.26,0
872.33,48.56,110.91,2112.17,624.28,3268.51,27.91,91.39,0
849.19,44.3,131.44,2036.85,608.13,3351.14,27.82,85.6,0
868.03,51.32,111.01,2346.56,623.41,2988.52,30.29,86.54,0
841.63,50.65,227.19,2423.41,650.28,3253.85,28.74,88.99,1
870.06,49.85,111.95,2079.15,569.22,3277.7,28.6,84.44,0
860.36,62.04,206.21,2299.14,632.2,3312.69,28.11,90.1,1
850.19,60.63,145.74,2181.83,564.76,3223.8,29.95,87.91,0
873.6,42.87,109.69,2431.13,635.32,3300.79,29.9,89.56,0
874.71,51.16,118.17,2562.32,640.39,3192.68,27.83,89.8,0
803.52,48.09,137.94,2256.39,610.28,3223.94,28.58,89.53,0
814.7,50.12,130.72,2219.95,592.43,3328.86,31.22,80.45,0
826.71,52.25,132.72,2018.56,567.43,3134.39,29.03,91.14,0
834.78,47.17,106.24,2278.59,601.38,3144.11,28.09,93.07,0
848.81,62.85,120.27,2173.59,634.66,3295.5,28.15,85.89,0
866.76,52.48,128.67,2273.36,590.78,3133.36,28.4,84.08,0
866.22,55.05,116.15,2049.67,622.96,3192.99,28.2,86.59,0
885.69,50.94,125.81,2066.9,628.8,3059.21,28.54,87.55,0
853.81,49.16,118.79,2070.77,596.45,3107.35,27.77,86.15,0
860.34,59.94,123.87,2318.84,638.9,3226.06,27.78,87.75,0
852.39,64.18,117.53,2125.18,599.58,3242.05,28.29,84.57,0
832.51,59.82,123.41,2236.67,639.37,3135.28,28.7,91.01,0
842.36,53.68,119.47,2134.42,678.89,3159.73,28.12,85.76,0
861.78,60.28,107.02,2022.35,597.08,3138.4,27.65,88.41,0
821.78,54.85,121.89,2070.34,614.58,3331.09,28.5,83.5,0
838.61,63.44,118.09,2290.91,624.7,3042.28,26.61,87.96,0
812.67,53.44,128.95,2333.64,671.41,3101.59,27.0,88.82,0
858.88,56.75,119.97,2349.56,611.83,3210.21,28.6,85.75,0
863.57,54.74,99.81,2044.14,633.83,3128.08,27.17,94.95,0
844.34,53.53,137.1,2255.03,604.12,3236.05,30.85,91.42,0
818.93,59.96,118.2,2172.52,625.66,3030.43,30.26,88.93,0
847.05,52.53,123.71,1888.92,642.5,3168.11,27.12,87.69,0
850.13,54.01,117.49,2375.44,613.33,3255.12,29.09,87.61,0
847.43,63.53,118.97,1890.0,599.37,3303.41,27.25,87.35,0
792.53,45.93,104.75,2392.19,656.72,3243.83,28.34,90.78,0
860.21,60.37,113.8,2267.21,590.63,3320.77,27.89,83.34,0
850.96,47.89,122.12,2285.8,654.55,3236.92,28.43,85.32,0
864.39,63.78,117.58,2160.71,642.24,3221.61,28.59,88.87,0
825.67,47.87,131.65,2168.82,601.47,3312.31,27.32,96.33,0
808.28,52.59,116.98,2062.45,619.25,3266.28,27.1,87.15,0
843.88,54.19,117.3,2367.01,617.68,3231.97,27.53,84.93,0
920.79,59.85,120.28,2191.7,573.16,3250.51,28.48,85.41,0
828.22,54.05,120.43,2042.49,603.61,3224.62,27.55,88.67,0
854.37,52.97,125.8,2503.13,619.78,3293.9,29.02,91.7,0
848.15,60.16,113.71,2299.2,638.17,3271.75,28.76,93.53,0
899.21,63.05,120.27,1919.0,611.23,3168.29,27.25,87.41,0
814.45,53.99,123.64,1876.34,618.91,3263.63,28.96,88.01,0
837.0,54.99,108.61,2378.25,597.15,3174.02,28.75,88.94,0
836.46,56.87,126.42,2024.26,628.83,3267.47,27.18,86.27,0
819.24,51.5,121.18,2258.32,601.77,3381.65,27.98,89.39,0
836.17,56.05,115.37,2036.38,611.02,3076.48,31.12,89.19,0
1058.47,43.96,133.55,2360.44,719.72,3467.59,34.43,103.3,1
864.56,56.49,118.2,2481.36,627.97,3276.91,28.91,91.96,0
831.34,61.39,106.11,2197.96,618.62,3170.48,26.87,86.21,0
854.58,39.45,122.0,2246.64,577.47,3242.06,29.07,84.5,0
832.12,55.33,107.22,2493.23,618.53,3143.36,25.83,86.32,0
888.1,55.95,106.84,2260.08,638.96,3234.87,28.65,89.77,0
791.89,48.16,120.03,2428.77,600.19,3240.85,26.82,91.68,0
850.29,54.84,114.89,2374.75,653.29,3182.88,28.62,95.49,0
876.37,58.11,134.86,1985.83,636.11,3283.44,27.25,86.38,0
860.89,49.47,108.83,2265.87,627.3,3298.72,27.79,86.36,0
812.24,61.72,111.09,2087.14,615.75,3207.68,30.6,89.25,0
842.63,50.97,120.8,2408.93,578.7,3349.6,27.71,84.22,0
782.45,57.85,144.1,2205.26,612.74,3141.0,28.7,86.33,0
879.83,54.56,126.39,2128.44,625.78,3222.48,27.85,81.48,0
881.37,54.81,125.16,2288.41,612.61,3172.29,28.7,90.93,0
838.67,61.0,101.06,2171.81,639.29,3183.61,27.06,91.19,0
827.13,54.67,116.44,2271.92,595.35,3170.88,27.73,90.16,0
798.88,57.78,140.3,2575.59,668.14,3047.31,30.84,89.02,0
818.13,59.07,118.35,2359.35,591.9,3241.91,27.63,88.28,0
877.0,49.32,121.08,2222.3,589.64,3212.94,29.99,89.13,0
818.09,62.43,114.62,2279.78,619.32,3222.61,30.02,86.45,0
861.67,59.51,113.5,2163.62,598.54,3108.42,29.29,88.32,0
848.83,63.93,114.49,2134.93,625.74,3113.83,30.12,83.24,0
886.08,56.78,108.02,2099.99,575.69,3143.22,29.54,87.26,0
862.61,61.97,127.28,2180.06,601.92,3223.65,29.92,85.63,0
903.47,61.07,115.88,2116.46,645.57,3248.98,30.62,86.56,0
911.58,52.58,114.33,1824.48,607.15,3384.21,29.13,94.59,0
809.14,51.06,107.24,2232.57,586.47,3082.61,29.04,90.44,0
860.17,57.31,102.96,2234.81,617.39,2996.1,28.03,83.24,0
848.12,57.4,122.54,2203.98,584.75,3188.76,28.13,88.55,0
875.25,49.0,121.81,2276.83,619.7,3213.56,28.15,87.36,0
889.29,52.33,113.32,2060.74,619.02,3160.63,29.63,89.31,0
908.64,49.09,117.54,2158.15,649.14,3125.49,29.72,85.08,0
827.62,57.4,124.42,2239.65,620.67,3278.35,28.07,86.17,0
877.81,53.42,128.21,2156.89,647.51,3302.85,27.4,93.6,0
798.18,52.84,118.82,2229.78,649.28,3314.48,28.1,89.54,0
825.17,58.53,110.02,2092.58,627.93,3122.59,29.17,87.94,0
879.22,56.85,135.4,2097.84,650.99,3161.09,27.04,88.45,0
796.69,49.36,110.77,2349.87,611.96,3229.03,28.12,91.88,0
855.28,29.75,118.36,1996.29,611.29,2972.96,25.89,88.19,1
853.29,57.8,108.19,2215.04,643.0,3339.05,29.24,88.02,0
853.56,55.79,93.45,2229.61,593.07,3322.05,30.85,86.53,0
868.94,51.61,116.75,2527.08,619.16,3209.41,27.63,85.8,0
859.06,60.74,130.1,2122.53,641.67,3237.69,29.13,86.64,0
903.32,51.57,129.8,2276.71,588.06,3191.26,30.83,89.43,0
873.54,52.38,122.3,2358.55,592.46,3145.4,30.19,84.37,0
819.03,62.2,118.19,2161.07,628.23,3201.92,27.3,88.38,0
886.18,43.8,97.9,2387.79,620.82,3247.57,30.38,87.79,0
861.89,53.72,120.41,2401.84,627.01,3145.98,27.15,86.34,0
844.28,61.52,115.37,1996.26,583.65,3157.18,30.93,87.69,0
910.11,51.36,116.91,2439.62,647.58,3364.06,27.48,89.62,0
824.48,54.14,130.92,2194.56,661.13,3183.46,28.67,85.33,0
882.75,57.11,99.16,2427.74,637.69,3121.5,30.36,90.13,0
827.14,55.17,114.96,2377.97,559.7,3149.44,27.34,91.6,0
842.44,46.37,113.14,1951.26,653.49,3191.11,28.31,81.29,0
858.65,53.63,117.47,1819.52,621.88,3139.03,31.21,93.15,0
840.79,54.91,125.89,2214.66,583.26,3127.22,29.06,87.9,0
887.77,20.67,147.24,2264.47,637.96,3347.51,28.06,84.21,1
872.92,43.07,106.05,2348.21,636.23,3254.9,29.58,83.72,0
857.03,47.41,111.27,2156.15,628.36,3215.31,28.8,86.89,0
866.53,62.73,132.24,2279.38,635.4,3287.05,27.08,86.84,0
851.16,50.86,120.77,2277.88,600.22,3219.27,29.01,87.14,0
869.05,50.52,115.42,2202.04,629.71,3166.71,26.44,85.33,0
814.35,65.71,119.09,2258.08,612.23,3208.62,30.29,85.86,0
853.05,44.04,116.37,2075.7,614.24,3268.44,27.55,86.1,0
819.3,49.47,123.98,2108.76,615.91,3077.93,30.34,84.26,0
819.62,58.81,125.86,2112.71,647.61,3316.68,28.31,88.4,0
837.75,65.42,113.59,2155.96,610.23,3220.47,28.76,82.95,0
857.51,61.35,109.34,2126.05,603.97,3241.07,26.98,92.66,0
848.83,50.88,121.72,2220.5,665.03,3091.52,28.61,86.62,0
834.36,69.98,131.45,2251.48,620.97,3308.63,28.82,92.78,0
854.05,53.43,107.23,2312.74,670.78,3214.15,27.36,84.99,0
838.16,52.79,129.97,2386.11,562.16,3171.75,31.0,90.68,0
839.47,59.42,124.6,2237.91,638.8,3187.83,28.49,98.43,0
847.2,44.91,125.4,2261.26,620.75,3078.03,28.93,85.7,0
805.88,56.57,109.79,2131.27,621.59,2997.68,28.46,84.24,0
826.95,60.61,132.24,2278.33,594.7,3177.03,28.01,88.92,0
860.2,58.39,117.56,2523.29,604.67,3174.38,27.98,90.42,0
865.07,33.38,140.19,2065.04,647.41,3023.75,25.57,81.53,1
809.23,53.9,112.73,1889.99,600.65,3202.5,30.13,90.45,0
852.92,57.83,125.67,1978.27,600.39,3162.43,29.61,88.33,0
844.48,54.99,121.06,2210.14,616.33,3128.12,27.22,92.02,0
891.02,57.22,112.99,2173.24,604.6,3116.67,27.34,88.4,0
901.18,47.99,129.67,1971.83,642.59,3287.79,25.18,92.53,0
820.06,53.48,112.27,2428.25,527.5,3141.83,27.07,88.15,0
821.23,54.2,120.72,1882.97,646.21,3198.41,29.49,87.75,0
844.3,51.05,119.71,2415.81,588.32,3092.09,27.7,91.67,0
832.24,63.09,99.49,2423.05,619.84,3370.53,28.45,85.57,0
798.88,53.66,112.51,2179.1,572.5,3214.43,29.64,89.58,0
829.84,52.61,115.4,2056.47,630.13,3199.41,29.38,86.85,0
842.16,61.06,113.88,2176.67,630.4,3282.39,29.37,87.03,0
864.89,49.59,119.68,2398.78,628.65,3093.9,30.3,91.55,0
856.73,54.25,111.0,2076.74,592.57,3208.12,28.26,90.87,0
778.17,46.74,143.52,2166.62,626.82,3297.48,26.48,87.21,0
813.16,56.24,128.71,2391.26,590.9,3053.9,27.46,86.82,0
856.6,55.34,113.53,2229.36,663.82,3200.1,29.71,87.34,0
862.22,45.25,124.65,2150.43,572.85,3252.38,28.91,85.12,0
863.38,49.1,141.73,2156.43,628.54,3149.46,26.44,81.77,0
871.36,56.02,141.12,2051.55,603.68,3042.55,26.9,87.11,0
879.09,52.01,109.18,2348.45,636.24,3412.88,27.8,90.43,0
861.86,57.12,111.71,2214.66,595.26,3129.04,28.67,79.11,0
867.95,58.16,117.89,2353.3,607.34,3294.95,28.02,87.22,0
892.71,57.36,121.5,2254.66,640.69,3133.3,29.64,90.1,0
1009.06,46.53,113.17,2690.09,777.09,3384.98,32.05,97.02,1
861.26,47.01,121.7,2495.45,612.81,3189.73,30.71,85.61,0
814.71,52.18,125.53,2136.61,618.39,3155.66,27.24,91.81,0
845.88,52.4,133.84,2048.98,631.81,3419.87,27.16,89.83,0
882.68,46.35,118.04,2058.58,642.44,3074.78,26.67,88.97,0
874.28,57.82,107.92,2103.03,637.74,3175.55,28.32,84.72,0
830.72,52.5,133.97,2345.19,619.11,3063.7,25.59,88.26,0
856.26,59.25,118.41,2232.17,635.75,3066.27,27.22,89.7,0
856.04,59.68,121.89,2277.17,618.83,3105.51,26.39,93.81,0
801.13,63.79,129.39,2299.02,638.65,3376.67,28.76,87.32,0
856.66,53.95,108.93,2366.66,629.76,3264.2,30.48,84.96,0
862.33,55.08,110.57,2329.13,625.4,3269.95,29.41,87.4,0
847.29,57.39,127.48,2001.3,590.8,3292.78,27.34,87.84,0
796.4,55.51,119.24,2220.8,645.81,3241.1,28.99,81.56,0
839.9,59.06,108.34,2020.84,654.43,3213.38,29.2,87.29,0
