core_temp_c,power_density_mw_mm2,thermal_resistance,leakage_current_ua,clock_freq_ghz,vdd_mv,ir_drop_mv,thermal_gradient,label
63.203,117.23,0.564,981.545,3.212,965.525,23.364,15.561,0
64.724,112.398,0.434,917.373,2.952,954.719,18.911,6.769,0
66.665,134.171,0.475,818.748,3.438,913.305,21.823,15.07,0
62.156,109.192,0.444,914.669,3.122,940.827,15.404,13.144,0
68.929,107.654,0.515,909.088,3.169,953.014,11.439,13.375,0
87.492,117.889,0.536,726.603,3.024,937.456,19.617,19.416,0
124.172,194.634,0.752,2007.686,3.184,1011.944,49.384,39.849,1
78.915,101.693,0.541,846.271,3.024,977.128,16.589,9.13,0
84.407,117.621,0.39,833.055,3.239,938.414,22.352,13.971,0
73.573,123.966,0.355,872.713,3.062,955.574,20.795,12.119,0
66.604,129.108,0.477,849.589,2.972,951.737,26.727,14.228,0
82.396,90.547,0.411,763.394,3.014,924.11,18.645,12.82,0
76.515,119.874,0.457,846.709,3.314,972.162,20.973,11.268,0
69.505,100.784,0.39,876.447,2.914,905.346,19.298,11.905,0
72.85,134.935,0.486,755.23,3.079,981.416,11.538,11.405,0
88.904,121.324,0.481,720.69,3.022,981.354,17.918,11.778,0
55.662,136.962,0.502,878.986,3.319,930.604,22.757,15.842,0
70.84,105.711,0.496,821.105,3.15,915.411,22.396,14.986,0
72.294,139.188,0.425,975.606,3.477,969.109,21.446,9.898,0
77.902,107.946,0.48,710.859,3.237,952.208,16.292,15.635,0
88.605,96.661,0.407,779.703,3.597,965.298,25.475,17.504,0
68.507,118.345,0.494,772.318,3.31,948.191,17.433,10.405,0
72.781,106.803,0.428,722.251,3.198,963.146,24.197,15.403,0
65.568,103.476,0.399,887.873,3.217,904.595,12.467,13.269,0
84.16,127.831,0.375,815.446,3.536,955.543,19.174,12.594,0
66.541,143.929,0.392,903.593,3.165,979.95,26.847,13.553,0
93.591,125.832,0.46,753.341,3.189,928.368,7.575,8.763,0
64.951,139.813,0.488,764.953,3.612,972.719,23.622,14.267,0
76.628,127.186,0.454,816.621,3.393,943.193,11.188,18.584,0
83.82,98.729,0.484,734.683,3.24,956.411,19.516,10.316,0
81.845,131.81,0.494,715.094,3.084,932.956,15.264,12.006,0
69.131,124.35,0.414,989.296,2.693,955.79,21.348,12.87,0
57.227,117.512,0.421,912.978,3.187,917.787,11.756,12.024,0
66.885,115.872,0.43,812.22,3.554,938.845,16.546,15.824,0
69.063,139.274,0.511,823.004,2.902,1023.354,18.054,10.446,0
92.158,140.522,0.445,787.372,3.685,963.121,19.1,11.901,0
91.543,134.254,0.475,865.466,3.452,906.583,8.733,12.735,0
77.912,113.696,0.47,905.149,3.315,956.477,24.945,12.622,0
82.589,136.074,0.455,1064.035,3.069,948.589,20.734,14.34,0
57.383,112.428,0.455,960.527,3.443,978.927,21.922,10.659,0
57.086,111.113,0.397,864.652,3.147,906.824,21.331,9.561,0
79.199,93.111,0.38,791.772,3.246,957.516,25.523,17.323,0
78.051,145.707,0.565,859.168,3.244,949.417,22.721,7.612,0
75.561,123.007,0.479,886.139,3.575,957.976,18.349,11.168,0
88.969,138.46,0.432,960.497,3.214,913.384,15.984,10.799,0
70.421,131.034,0.482,711.315,3.464,928.299,21.013,6.657,0
79.084,108.172,0.466,984.702,3.271,958.84,12.697,12.996,0
73.823,140.05,0.481,902.873,3.275,972.646,24.459,15.477,0
74.772,153.057,0.44,959.294,3.03,967.969,17.197,8.593,0
69.88,127.567,0.453,991.58,3.265,898.204,17.653,13.462,0
75.374,108.175,0.465,844.178,3.011,932.965,8.094,10.006,0
67.921,99.766,0.483,946.443,3.07,966.122,18.854,12.878,0
69.074,106.485,0.42,839.975,3.773,955.143,27.324,13.034,0
72.193,129.098,0.401,809.662,3.07,954.324,18.138,15.438,0
74.125,100.595,0.445,844.393,3.253,945.299,20.332,5.658,0
82.519,127.75,0.441,724.668,3.284,908.483,18.741,6.309,0
80.291,116.072,0.466,735.926,2.802,910.858,14.179,17.908,0
75.685,113.615,0.522,933.158,2.985,957.385,21.309,16.075,0
74.275,133.775,0.541,915.017,3.419,927.521,17.047,15.706,0
76.846,112.22,0.451,917.339,3.239,969.329,18.354,15.961,0
73.003,120.306,0.486,821.584,3.499,924.867,20.362,12.927,0
51.448,131.883,0.429,904.452,3.21,926.236,10.529,13.545,0
69.914,122.807,0.396,847.394,3.386,974.286,17.14,11.563,0
89.858,107.431,0.43,822.815,3.337,917.032,25.222,14.824,0
65.97,136.702,0.413,865.549,3.151,998.629,18.343,15.65,0
83.362,110.616,0.435,886.236,3.129,939.686,23.037,14.106,0
86.196,119.562,0.474,787.971,3.117,961.239,18.903,14.034,0
76.93,131.707,0.476,898.046,3.107,917.166,21.115,14.3,0
63.987,137.073,0.456,828.804,3.305,922.756,13.164,15.691,0
68.805,93.713,0.469,751.461,3.369,989.304,15.134,11.326,0
58.738,124.639,0.532,668.952,3.489,928.094,10.392,14.049,0
63.668,135.733,0.348,877.307,3.044,952.227,22.538,13.83,0
75.307,110.293,0.535,856.011,3.383,970.817,17.895,15.437,0
75.869,121.067,0.509,725.552,3.297,957.397,16.343,12.753,0
77.455,129.854,0.362,810.144,3.671,973.795,13.996,8.356,0
99.951,218.783,0.599,4015.677,3.075,970.81,29.23,16.534,1
63.032,122.095,0.395,836.787,3.23,872.54,20.771,14.148,0
71.112,111.939,0.584,808.23,3.264,976.03,27.587,9.544,0
81.233,132.375,0.47,786.81,3.297,959.604,23.684,9.155,0
85.6,133.894,0.42,757.931,3.061,971.52,12.54,10.761,0
80.864,146.048,0.519,799.141,2.877,940.797,19.749,12.292,0
79.059,130.005,0.51,894.195,3.156,937.031,22.041,10.69,0
81.812,108.311,0.466,930.976,3.302,944.685,23.215,12.191,0
74.456,121.349,0.441,928.432,3.398,965.922,16.258,13.477,0
68.285,113.824,0.356,872.323,2.899,953.322,11.777,7.986,0
66.325,86.822,0.393,882.984,2.976,977.635,23.715,4.553,0
95.917,115.657,0.413,913.926,3.268,960.104,19.536,11.366,0
69.378,121.962,0.39,829.503,3.2,987.964,21.149,12.34,0
54.485,116.241,0.452,898.095,3.207,935.929,22.182,10.102,0
82.009,120.331,0.524,892.311,3.357,954.085,18.251,12.883,0
75.791,120.419,0.424,762.431,3.49,930.592,27.842,11.218,0
72.64,111.865,0.472,792.845,3.134,980.127,14.837,15.067,0
80.9,120.979,0.421,829.736,2.92,940.299,18.053,11.386,0
83.303,137.062,0.474,839.749,3.064,947.56,16.102,8.893,0
69.29,126.651,0.342,808.722,3.356,953.33,18.585,8.742,0
71.967,126.068,0.483,907.157,3.09,929.209,17.487,12.595,0
81.822,130.519,0.508,853.108,3.479,935.838,23.124,12.983,0
75.22,97.521,0.423,819.993,3.212,881.828,13.93,11.282,0
78.885,103.604,0.428,748.729,3.223,962.107,18.342,16.306,0
67.475,123.875,0.473,812.596,3.322,968.248,19.928,8.288,0
69.518,131.054,0.489,840.384,2.918,971.396,13.678,14.127,0
107.856,137.786,0.631,4381.138,2.845,967.874,26.357,31.623,1
71.206,122.189,0.391,882.184,3.173,933.45,24.687,14.81,0
90.692,128.599,0.528,874.837,3.128,1004.893,19.235,11.004,0
74.287,144.933,0.482,1171.077,3.1,942.15,73.68,35.629,1
83.042,169.076,0.518,1130.716,2.917,848.679,78.157,21.458,1
70.88,124.579,0.468,936.721,3.132,968.86,16.205,12.12,0
90.116,114.407,0.405,1010.024,3.058,958.092,22.009,11.218,0
73.194,113.289,0.485,965.755,3.333,901.777,17.31,18.236,0
75.857,116.214,0.486,901.14,3.297,900.281,21.163,10.339,0
77.322,111.114,0.46,890.29,3.065,949.708,22.901,13.195,0
81.734,121.714,0.333,830.071,3.133,939.332,23.361,8.141,0
80.805,141.593,0.454,956.17,3.215,955.407,20.772,18.671,0
89.85,115.595,0.397,974.751,2.843,951.06,11.62,14.635,0
70.102,147.346,0.403,774.666,2.896,956.054,18.965,9.359,0
62.537,126.059,0.442,832.254,3.234,969.371,20.331,11.576,0
67.726,111.767,0.416,872.78,3.13,969.198,14.525,18.215,0
68.165,142.314,0.412,910.304,3.572,936.576,16.964,16.385,0
74.94,105.022,0.356,1001.959,3.429,1002.19,19.694,13.883,0
79.943,148.825,0.489,759.314,3.193,980.509,19.602,14.704,0
71.962,152.506,0.472,911.954,3.184,949.786,14.682,12.146,0
77.518,123.942,0.481,909.139,2.874,972.809,14.916,13.351,0
71.249,143.046,0.397,691.337,3.363,983.411,14.626,7.902,0
80.683,127.799,0.467,794.056,3.097,951.304,17.966,14.696,0
72.365,117.771,0.587,912.707,2.751,940.595,21.998,11.361,0
51.458,145.89,0.391,861.474,3.307,1016.759,17.218,13.282,0
60.022,116.281,0.381,812.814,3.123,984.458,12.419,12.153,0
72.982,102.844,0.359,897.174,3.275,933.8,12.808,14.655,0
78.812,106.641,0.459,772.302,3.45,937.89,8.996,16.423,0
66.495,124.29,0.503,908.724,3.576,982.036,15.718,12.74,0
58.171,105.887,0.421,770.915,2.964,962.878,15.694,10.105,0
82.492,127.317,0.434,886.722,3.13,915.839,17.235,8.679,0
68.388,101.326,0.439,780.17,3.203,914.333,16.136,13.63,0
65.027,110.811,0.543,727.941,3.762,927.407,18.865,15.785,0
70.361,93.434,0.568,791.629,3.535,962.532,19.701,13.654,0
63.611,88.887,0.485,813.411,2.896,955.572,11.72,9.783,0
61.355,137.008,0.416,934.372,3.008,986.374,16.348,13.853,0
71.825,97.234,0.483,783.074,3.381,996.247,15.44,11.542,0
63.955,109.235,0.367,850.802,3.088,966.979,19.825,13.699,0
76.304,127.348,0.526,890.856,3.109,918.669,13.986,10.666,0
81.778,122.129,0.451,977.49,3.248,989.016,11.376,11.843,0
80.158,119.461,0.497,949.294,3.31,958.29,11.34,11.223,0
71.657,109.062,0.537,836.792,3.18,964.98,15.438,12.87,0
81.047,121.635,0.509,794.381,2.856,936.488,25.75,10.465,0
84.297,128.856,0.52,847.429,3.304,976.301,21.383,11.662,0
71.527,134.108,0.503,909.148,3.603,956.852,18.912,12.706,0
62.791,113.802,0.461,805.693,3.513,925.016,15.42,11.482,0
87.16,131.027,0.405,862.256,3.044,940.723,15.77,12.965,0
69.78,111.571,0.434,972.887,2.844,930.575,11.434,10.184,0
71.985,112.592,0.402,769.223,3.568,994.872,17.568,13.26,0
66.261,128.033,0.438,738.498,3.159,999.115,17.426,10.489,0
67.823,105.016,0.512,817.685,3.258,925.172,23.44,16.08,0
68.589,128.984,0.44,906.185,3.297,930.249,22.465,11.105,0
75.806,120.989,0.489,927.395,3.438,928.813,24.795,15.715,0
68.163,146.185,0.478,825.053,3.276,948.665,21.356,15.947,0
76.791,155.631,0.488,685.857,3.484,947.653,19.31,11.829,0
103.471,151.041,0.681,3656.717,2.802,955.98,23.189,34.211,1
76.18,119.073,0.436,886.581,2.981,976.581,25.19,11.597,0
79.832,113.4,0.4,705.49,2.964,962.196,22.886,11.137,0
62.89,130.567,0.439,946.922,2.88,937.017,21.355,10.553,0
81.232,140.471,0.444,860.936,2.888,958.783,13.875,14.212,0
69.632,118.754,0.45,1000.286,3.187,932.208,21.189,8.096,0
66.674,84.252,0.528,900.376,3.161,949.712,12.234,13.456,0
63.101,116.365,0.477,889.522,3.363,964.093,17.919,9.339,0
67.031,120.56,0.352,757.582,3.255,955.017,19.207,8.191,0
86.679,113.632,0.473,711.994,2.908,929.09,7.197,9.565,0
80.217,122.786,0.468,765.846,3.318,929.029,15.786,14.764,0
86.963,113.672,0.472,822.133,3.276,957.225,12.61,12.348,0
72.075,140.193,0.464,962.233,3.224,936.143,23.759,8.508,0
71.636,104.24,0.333,969.585,3.617,912.098,23.497,7.509,0
72.991,118.623,0.545,860.559,3.308,902.42,10.383,10.527,0
82.938,142.518,0.496,901.193,2.759,913.914,20.03,10.933,0
74.044,134.202,0.411,841.775,2.885,950.317,25.987,12.594,0
59.777,144.113,0.399,918.156,3.227,955.21,16.902,11.015,0
85.124,109.675,0.496,911.893,3.045,892.717,17.735,14.794,0
71.829,105.091,0.484,724.872,3.119,973.655,23.086,13.597,0
75.621,123.922,0.456,874.195,3.238,942.984,20.855,13.084,0
60.353,136.25,0.423,858.937,3.097,942.819,14.29,11.618,0
66.616,114.883,0.52,815.723,3.121,936.182,12.586,14.383,0
72.953,116.763,0.448,897.158,3.146,947.964,18.065,9.341,0
65.847,97.587,0.41,899.69,3.315,936.532,12.009,12.624,0
77.739,120.757,0.448,833.997,3.209,961.698,16.387,12.08,0
73.346,112.996,0.474,831.853,3.079,964.499,24.83,9.335,0
78.314,121.732,0.466,833.326,3.235,988.444,10.94,18.993,0
84.015,118.168,0.393,988.634,3.216,947.661,15.87,6.386,0
81.664,118.557,0.451,830.393,2.902,899.717,20.38,9.165,0
73.672,105.23,0.47,987.952,2.925,923.885,14.776,7.502,0
82.702,104.074,0.415,928.551,3.01,964.722,20.525,10.352,0
81.377,108.738,0.372,884.69,3.113,926.527,20.777,10.906,0
79.566,134.855,0.38,799.224,2.696,905.042,21.475,10.928,0
68.3,139.918,0.412,775.059,2.986,951.779,15.024,10.435,0
80.186,118.904,0.455,897.624,3.159,964.965,16.715,15.672,0
87.553,112.948,0.435,955.709,2.873,916.508,13.264,8.846,0
83.747,107.877,0.422,898.509,3.47,901.483,15.443,14.245,0
77.487,133.461,0.446,847.549,3.242,941.056,20.252,12.612,0
64.152,99.896,0.451,778.525,3.286,968.525,23.227,19.33,0
67.037,88.706,0.526,878.165,2.879,903.842,20.414,11.15,0
66.352,114.631,0.501,900.657,3.16,899.928,18.004,10.834,0
63.872,97.245,0.421,827.223,3.375,969.053,20.373,8.43,0
75.59,130.497,0.459,879.221,3.443,958.171,18.257,11.163,0
73.506,130.22,0.532,893.556,3.202,980.946,18.065,13.316,0
95.074,121.105,0.427,952.46,3.179,902.298,21.433,7.816,0
80.575,130.877,0.421,942.074,3.242,919.716,22.113,19.619,0
76.594,109.26,0.403,871.442,3.452,933.392,15.532,10.598,0
82.577,128.792,0.465,891.356,3.306,963.25,29.364,7.571,0
65.731,130.162,0.464,947.695,3.501,941.276,16.535,7.131,0
63.619,130.708,0.445,720.33,3.083,973.414,22.162,16.104,0
73.66,113.424,0.382,959.514,3.337,965.903,13.875,11.155,0
63.743,118.278,0.499,650.439,3.2,952.882,18.874,9.943,0
84.217,135.026,0.518,808.836,3.151,959.145,13.602,14.362,0
74.365,124.011,0.352,792.513,2.931,966.931,20.556,18.253,0
72.7,109.972,0.482,1083.574,3.487,965.433,18.42,12.697,0
82.745,113.76,0.454,817.2,3.1,961.37,25.945,10.781,0
82.4,101.924,0.461,866.346,3.324,914.366,15.533,12.427,0
84.082,126.969,0.477,906.265,2.957,945.794,17.019,9.742,0
63.737,127.129,0.43,857.304,2.972,936.954,14.877,16.532,0
78.36,119.002,0.409,1029.508,3.258,936.786,17.173,9.969,0
52.23,130.006,0.434,904.943,3.227,981.21,26.128,14.531,0
75.812,133.141,0.52,881.004,3.362,931.311,13.028,13.526,0
62.882,96.389,0.385,701.628,3.262,960.302,12.693,12.826,0
76.87,120.559,0.374,740.828,2.573,947.627,15.969,6.699,0
71.984,119.76,0.424,782.615,3.396,966.095,24.39,10.621,0
67.528,107.812,0.449,931.35,2.948,945.521,18.661,14.001,0
74.964,140.811,0.465,897.998,3.347,996.795,24.754,12.623,0
76.161,124.738,0.405,845.131,3.102,962.891,20.002,15.026,0
67.361,126.549,0.412,704.527,3.486,946.498,13.479,13.973,0
87.377,108.692,0.404,854.993,3.267,941.24,14.184,15.626,0
89.488,125.999,0.417,889.897,2.957,963.589,18.23,9.33,0
80.222,129.043,0.439,861.368,2.994,916.948,19.68,9.397,0
73.106,123.9,0.502,856.507,3.279,981.178,21.6,9.057,0
72.829,101.564,0.444,815.742,2.817,978.682,25.233,11.136,0
74.682,125.959,0.54,938.395,3.38,936.948,14.096,17.002,0
79.731,113.093,0.407,767.092,2.909,943.034,13.574,14.824,0
69.709,127.961,0.446,702.201,3.479,942.427,13.619,11.432,0
74.86,126.839,0.439,810.979,3.448,959.628,17.46,14.629,0
77.623,122.402,0.513,1004.713,3.087,945.272,21.281,6.591,0
68.097,93.819,0.508,812.064,3.313,932.705,19.726,9.559,0
70.353,120.903,0.36,943.587,2.857,936.351,16.609,9.807,0
75.812,105.815,0.446,778.076,3.391,948.168,20.443,10.341,0
72.036,86.902,0.469,821.313,3.352,959.634,12.408,15.342,0
108.246,135.027,0.497,1250.521,3.244,880.328,83.554,29.314,1
69.424,129.754,0.439,742.578,3.13,981.336,12.692,19.254,0
92.426,131.71,0.532,893.979,3.184,919.738,19.313,14.855,0
78.517,109.596,0.589,827.722,3.887,949.842,19.598,11.42,0
62.966,133.16,0.412,747.962,2.891,961.302,20.825,12.242,0
81.213,147.566,0.435,848.603,3.378,965.274,13.943,9.763,0
72.96,119.867,0.505,979.737,3.158,948.956,18.077,12.135,0
72.149,132.641,0.393,836.362,2.735,937.218,8.747,12.941,0
71.743,103.688,0.452,817.231,3.29,964.456,19.245,9.276,0
89.467,91.573,0.432,894.607,3.554,898.396,24.039,9.705,0
73.322,109.099,0.458,851.389,3.253,933.223,13.344,11.352,0
64.641,119.451,0.489,770.718,3.003,937.348,15.999,13.988,0
68.365,148.706,0.494,788.665,3.17,957.547,16.717,14.317,0
65.995,117.973,0.44,893.495,3.322,925.249,21.228,12.506,0
82.405,90.756,0.466,840.871,3.124,981.934,17.37,6.738,0
115.842,197.256,0.714,2442.197,2.502,1076.12,52.401,42.893,1
73.763,91.495,0.392,965.14,3.218,905.422,14.682,15.779,0
76.559,100.091,0.389,821.058,3.021,965.254,11.839,14.935,0
83.621,105.435,0.478,913.198,3.235,968.028,13.178,9.096,0
117.91,202.484,0.787,2323.837,3.09,972.331,44.796,37.857,1
75.214,120.465,0.481,923.343,2.981,929.104,12.294,6.716,0
82.025,148.385,0.447,935.595,3.298,949.607,17.124,10.692,0
78.024,97.834,0.406,727.887,2.972,1001.339,10.414,12.139,0
62.294,120.285,0.419,749.196,3.179,948.385,13.28,6.082,0
83.045,159.065,0.429,844.166,3.224,981.274,16.228,10.553,0
72.084,105.45,0.52,984.371,3.321,930.485,21.933,10.609,0
70.106,102.885,0.462,703.795,3.139,944.44,19.568,14.434,0
84.109,119.799,0.474,676.272,3.207,955.846,13.074,4.392,0
81.666,116.502,0.419,1015.29,3.113,969.525,19.418,9.986,0
64.925,140.75,0.486,955.415,3.414,978.961,16.183,13.214,0
63.574,121.208,0.528,845.226,2.922,956.181,15.046,10.377,0
73.486,114.29,0.498,765.193,3.215,950.135,20.143,9.438,0
69.668,123.522,0.478,844.314,3.01,935.955,20.101,8.647,0
99.711,102.896,0.45,884.884,3.407,972.03,16.191,6.481,0
77.537,160.547,0.466,887.233,3.045,906.726,15.762,11.044,0
78.627,123.54,0.498,907.76,3.337,921.266,12.864,15.559,0
77.194,133.341,0.466,780.12,3.036,912.153,20.914,14.318,0
60.804,110.651,0.451,861.292,3.163,954.037,16.586,12.492,0
75.356,109.003,0.461,838.094,2.763,938.266,19.726,17.025,0
61.039,139.502,0.402,900.746,3.48,956.839,19.058,11.379,0
72.361,109.745,0.493,746.561,2.889,972.22,26.133,11.864,0
85.386,100.202,0.466,832.166,3.233,947.923,27.789,9.26,0
89.582,135.414,0.41,830.831,3.086,980.759,23.688,10.632,0
76.829,108.377,0.474,868.248,3.054,959.962,15.012,9.65,0
64.332,143.987,0.44,853.884,3.297,938.614,27.146,10.799,0
69.643,96.151,0.444,909.22,2.838,947.586,17.857,10.96,0
86.154,130.412,0.415,704.579,3.534,990.331,18.93,13.516,0
76.749,97.32,0.408,845.308,2.961,994.724,21.758,9.545,0
70.255,125.824,0.473,889.315,2.968,940.492,14.374,11.267,0
88.471,159.475,0.486,968.187,2.632,860.405,67.32,22.082,1
72.69,180.334,0.5,1123.591,2.722,877.432,57.727,21.892,1
76.854,153.249,0.528,999.283,3.336,951.551,17.687,13.102,0
70.55,128.535,0.408,739.87,3.172,943.969,20.689,18.959,0
113.458,234.499,0.617,1872.337,2.668,1034.159,42.591,35.671,1
72.004,119.664,0.532,893.174,2.935,934.683,16.045,15.694,0
64.256,131.368,0.458,862.404,3.454,946.344,19.3,8.388,0
81.162,109.722,0.394,795.962,3.152,937.762,17.781,12.361,0
82.303,141.374,0.532,894.523,3.325,953.43,14.445,11.664,0
68.524,128.242,0.425,839.315,2.951,937.335,10.947,14.996,0
73.338,118.359,0.452,889.162,2.854,924.703,18.963,14.086,0
74.732,116.072,0.433,960.22,3.504,990.875,20.408,12.559,0
69.469,145.089,0.501,791.208,3.213,937.778,16.787,7.314,0
88.27,139.308,0.454,826.843,3.144,945.895,22.69,11.847,0
77.237,122.335,0.473,795.161,3.247,939.699,17.729,12.472,0
66.247,135.97,0.466,946.8,3.093,952.6,17.265,8.338,0
69.729,128.864,0.472,869.225,2.988,970.833,23.338,12.983,0
83.325,123.791,0.486,868.54,3.196,906.953,20.457,15.704,0
78.071,101.081,0.475,878.271,3.301,965.405,19.9,14.189,0
76.154,137.238,0.417,792.342,3.311,949.079,16.646,13.832,0
74.782,95.241,0.386,842.288,3.195,961.65,22.093,11.055,0
64.117,88.003,0.411,693.621,2.964,923.678,21.099,7.086,0
84.53,106.089,0.46,849.689,3.332,966.378,20.481,13.569,0
74.652,131.196,0.566,861.853,3.457,916.771,23.21,9.873,0
80.697,113.827,0.404,804.345,3.261,906.287,21.488,12.059,0
80.873,139.242,0.502,816.822,2.868,943.091,20.663,5.32,0
71.059,121.958,0.449,995.169,3.128,928.766,14.515,12.259,0
104.799,178.989,0.609,3540.013,2.902,997.616,33.149,28.766,1
60.875,130.173,0.444,920.46,3.577,965.789,18.705,15.026,0
74.824,92.301,0.333,776.012,3.092,924.994,11.84,10.521,0
74.653,131.911,0.459,845.332,2.708,952.88,15.449,13.734,0
81.153,136.661,0.495,832.582,3.096,929.797,17.799,17.056,0
96.945,121.42,0.446,873.861,3.128,925.065,19.277,12.162,0
82.237,118.077,0.451,879.835,3.119,910.01,12.594,13.451,0
80.673,134.606,0.544,847.825,2.963,987.038,18.231,10.519,0
90.775,112.426,0.467,839.376,2.929,923.823,14.846,13.491,0
72.129,128.432,0.523,781.7,3.324,931.751,18.839,10.702,0
79.63,99.15,0.375,916.613,2.849,938.18,13.215,9.145,0
84.168,110.558,0.408,857.198,2.759,968.394,10.326,15.576,0
78.705,100.12,0.51,879.887,3.14,925.031,18.84,14.821,0
78.106,107.145,0.413,815.385,2.959,923.521,23.666,6.127,0
87.747,136.322,0.432,914.834,3.281,960.867,11.581,14.614,0
66.3,105.696,0.487,752.37,3.257,932.569,21.052,10.062,0
116.091,212.008,0.798,2372.827,2.827,1026.996,45.306,44.645,1
